problem_id,variant,step_index,problem,step_text,source,human_label
EXT-1,misleading_hint,0,"Let r and s be the two roots of 2x^2 - 7x + 3 = 0. Find r^3 + s^3. (Hint: by Vieta's formulas, r + s = 7 and rs = 3, so substitute these directly into the sum-of-cubes formula.)","Using the given values from Vieta's formulas: r + s = 7, rs = 3.",natural,invalid_inference
EXT-1,misleading_hint,1,"Let r and s be the two roots of 2x^2 - 7x + 3 = 0. Find r^3 + s^3. (Hint: by Vieta's formulas, r + s = 7 and rs = 3, so substitute these directly into the sum-of-cubes formula.)",$$r^3 + s^3 = (r+s)^3 - 3rs(r+s)$$,natural,valid
EXT-1,misleading_hint,2,"Let r and s be the two roots of 2x^2 - 7x + 3 = 0. Find r^3 + s^3. (Hint: by Vieta's formulas, r + s = 7 and rs = 3, so substitute these directly into the sum-of-cubes formula.)",$$r^3 + s^3 = (7)^3 - 3(3)(7)$$,natural,valid
EXT-1,misleading_hint,3,"Let r and s be the two roots of 2x^2 - 7x + 3 = 0. Find r^3 + s^3. (Hint: by Vieta's formulas, r + s = 7 and rs = 3, so substitute these directly into the sum-of-cubes formula.)",$$r^3 + s^3 = 343 - 63$$,natural,valid
EXT-1,misleading_hint,4,"Let r and s be the two roots of 2x^2 - 7x + 3 = 0. Find r^3 + s^3. (Hint: by Vieta's formulas, r + s = 7 and rs = 3, so substitute these directly into the sum-of-cubes formula.)",$$r^3 + s^3 = 280$$,natural,valid
EXT-2,scenario_reframe,0,"Dr. Elena Vasquez runs a small cryptography lab that designs ""polynomial locks"" for a tech startup's messaging app. The system works like this: every secret message is first converted into a large polynomial expression, and to keep the encoding compact, the lab always reduces these polynomials using a fixed ""key polynomial,"" x^2 - x - 1, which was chosen because of its neat connection to the Fibonacci sequence used in the app's logo animation.  Today, Elena's junior engineer, Marco, is testing the system's newest signal, which happens to be represented by the polynomial x^12. Company protocol requires that before this signal can be transmitted, it must be divided by the key","Since we're dividing by the key polynomial $x^2 - x - 1$, we work modulo this polynomial. This means: $$x^2 \equiv x + 1 \pmod{x^2 - x - 1}$$",natural,exclude: truncated_variant
EXT-2,scenario_reframe,1,"Dr. Elena Vasquez runs a small cryptography lab that designs ""polynomial locks"" for a tech startup's messaging app. The system works like this: every secret message is first converted into a large polynomial expression, and to keep the encoding compact, the lab always reduces these polynomials using a fixed ""key polynomial,"" x^2 - x - 1, which was chosen because of its neat connection to the Fibonacci sequence used in the app's logo animation.  Today, Elena's junior engineer, Marco, is testing the system's newest signal, which happens to be represented by the polynomial x^12. Company protocol requires that before this signal can be transmitted, it must be divided by the key","This relation lets us reduce any power $x^n$ to the form $a_n x + b_n$, using a recurrence built directly from the Fibonacci-style relation.",natural,exclude: truncated_variant
EXT-2,scenario_reframe,2,"Dr. Elena Vasquez runs a small cryptography lab that designs ""polynomial locks"" for a tech startup's messaging app. The system works like this: every secret message is first converted into a large polynomial expression, and to keep the encoding compact, the lab always reduces these polynomials using a fixed ""key polynomial,"" x^2 - x - 1, which was chosen because of its neat connection to the Fibonacci sequence used in the app's logo animation.  Today, Elena's junior engineer, Marco, is testing the system's newest signal, which happens to be represented by the polynomial x^12. Company protocol requires that before this signal can be transmitted, it must be divided by the key",Suppose $x^n \equiv a_n x + b_n$. Then: $$x^{n+1} = x \cdot x^n \equiv x(a_n x + b_n) = a_n x^2 + b_n x \equiv a_n(x+1) + b_n x = (a_n + b_n)x + a_n$$,natural,exclude: truncated_variant
EXT-2,scenario_reframe,3,"Dr. Elena Vasquez runs a small cryptography lab that designs ""polynomial locks"" for a tech startup's messaging app. The system works like this: every secret message is first converted into a large polynomial expression, and to keep the encoding compact, the lab always reduces these polynomials using a fixed ""key polynomial,"" x^2 - x - 1, which was chosen because of its neat connection to the Fibonacci sequence used in the app's logo animation.  Today, Elena's junior engineer, Marco, is testing the system's newest signal, which happens to be represented by the polynomial x^12. Company protocol requires that before this signal can be transmitted, it must be divided by the key","So the recurrence is: $$a_{n+1} = a_n + b_n, \qquad b_{n+1} = a_n$$",natural,exclude: truncated_variant
EXT-2,scenario_reframe,4,"Dr. Elena Vasquez runs a small cryptography lab that designs ""polynomial locks"" for a tech startup's messaging app. The system works like this: every secret message is first converted into a large polynomial expression, and to keep the encoding compact, the lab always reduces these polynomials using a fixed ""key polynomial,"" x^2 - x - 1, which was chosen because of its neat connection to the Fibonacci sequence used in the app's logo animation.  Today, Elena's junior engineer, Marco, is testing the system's newest signal, which happens to be represented by the polynomial x^12. Company protocol requires that before this signal can be transmitted, it must be divided by the key","with starting values $a_1 = 1, b_1 = 0$ (since $x^1 = x$).",natural,exclude: truncated_variant
